Insee - Statistiques locales; ; ; ; ; 
Référentiel géographique : France par commune; ; ; ; ; 
Code;Libellé;Part des actifs occupés de 15 ans ou plus  les transports en commun 2021;Part des ménages ayant au moins 1 voiture 2021;Part des actifs occ 15 ans ou plus voiture pour travailler 2021;Part des actifs occ 15 ans ou plus vélo pour travailler 2021
24015;Audrix;1.1;92.5;82.6;0
24016;Augignac;0;93.7;91.7;0
24018;Auriac-du-Périgord;0;93.6;90.8;0
24019;Azerat;1.2;91.7;81.9;0
24020;La Bachellerie;1.6;93.5;86.5;0
24021;Badefols-d'Ans;2.1;95.1;83.7;0
24022;Badefols-sur-Dordogne;0;96.8;87.8;1.2
24023;Baneuil;0;97.9;92.3;0
24024;Bardou;0;88.9;84.6;0
24025;Bars;3.4;93.5;86.7;0
24026;Bassillac et Auberoche;1;95.9;91.5;0.5
24027;Bayac;1.5;95;92.5;0.7
24028;Beaumontois en Périgord;0.3;92.8;77;1.1
24029;Beaupouyet;2;93;91.3;0
24030;Beauregard-de-Terrasson;0.7;91.3;94.4;0.4
24031;Beauregard-et-Bassac;0.7;94.6;92.2;0
24032;Beauronne;2.8;90.4;89.5;0
24034;Beleymas;0.9;92.9;67.4;0
24035;Pays de Belvès;1;87.4;75.1;0.2
24036;Berbiguières;3.4;97.8;89.8;0
24037;Bergerac;3.9;81.3;76;4.8
24038;Bertric-Burée;0;92.5;93.4;0
24039;Besse;0;96.2;85.1;0
24040;Beynac-et-Cazenac;1.7;95.9;82.7;1.8
24042;Biras;1.3;96.3;93.7;0.3
24043;Biron;3.6;93;58.9;1.8
24045;Boisse;1.2;98.4;76.9;0
24046;Boisseuilh;0;98.1;61.3;3.2
24048;Bonneville-et-Saint-Avit-de-Fumadières;0.8;94.6;89.2;0.8
24050;Borrèze;1.5;92.3;86.3;0.7
24051;Bosset;1;94.6;89.8;0
24052;Bouillac;1.6;94.5;78.1;1.6
24053;Boulazac Isle Manoire;2.3;92.2;89.4;1.8
24054;Bouniagues;0.8;97;84.9;1.6
24055;Bourdeilles;2.4;88.4;72.1;0.7
24056;Le Bourdeix;0;94.1;86.3;2.1
24057;Bourg-des-Maisons;0;87.9;91.2;0
24058;Bourg-du-Bost;1.1;94.6;91.3;1.2
24059;Bourgnac;5.3;96;88;0
24060;Bourniquel;0;93.7;82.8;3.4
24061;Bourrou;2;89.3;80;0
24062;Bouteilles-Saint-Sébastien;1.6;89;81.2;0
24063;Bouzic;0;94.4;90.9;1.8
24064;Brantôme en Périgord;1.6;91.3;82.8;0.6
24066;Brouchaud;2.4;90.9;85.2;0
24067;Le Bugue;1.3;85.7;78.1;1.9
24068;Le Buisson-de-Cadouin;1.9;91.1;80.5;1.6
24069;Bussac;0.6;94;91.4;1
24070;Busserolles;1.2;91.2;81.1;0
24071;Bussière-Badil;0.8;91.6;87.4;0
24073;Calès;0.7;93.3;83.7;0
24074;Calviac-en-Périgord;1.4;94.5;82.6;0.5
24075;Campagnac-lès-Quercy;0;93.5;89.4;0
24076;Campagne;1.9;95.5;84.2;0
24077;Campsegret;0;93.2;92.1;0
24080;Capdrot;2;91.8;77.6;0.7
24081;Carlux;1.7;91;86.9;0.4
24082;Carsac-Aillac;0.7;97.2;88;0.9
24083;Carsac-de-Gurson;1.4;92.3;82.6;1.4
24084;Carves;0;92.5;73.5;0
24085;La Cassagne;0;97.1;87.5;0
24086;Castelnaud-la-Chapelle;2.2;93.6;84.5;1.1
24087;Castels et Bézenac;1;95.5;87.3;0.7
24088;Cause-de-Clérans;1.6;93.9;91.9;0
24090;Celles;1.8;94.3;82.8;0.9
24091;Cénac-et-Saint-Julien;0.4;92.2;85.8;0
24094;Chalagnac;2.4;94.3;89.7;0
24095;Chalais;1.3;93.6;81.1;0
24096;Champagnac-de-Belair;0.7;92.2;85.7;3.7
24097;Champagne-et-Fontaine;1.5;93.8;83.4;0
24098;Champcevinel;2.6;95;88.5;2.5
24100;Champniers-et-Reilhac;2.7;92.3;84.7;0
24101;Champs-Romain;2.6;92.6;79.6;0.8
24102;Chancelade;1.5;92.3;88.2;1.3
24104;Chantérac;0;91.2;96.2;0
24105;Chapdeuil;0;97;90.7;0
24106;La Chapelle-Aubareil;0.9;95.3;81.8;0.9
24107;La Chapelle-Faucher;1.9;92.4;89.4;0
24108;La Chapelle-Gonaguet;0.5;96.9;95.1;0.9
24109;La Chapelle-Grésignac;0;92;69.2;0
24110;La Chapelle-Montabourlet;9.1;92.9;90.9;0
24111;La Chapelle-Montmoreau;0;90.7;65.5;0
24113;La Chapelle-Saint-Jean;2.9;100;79.4;0
24114;Chassaignes;0;92.1;66.7;0
24115;Château-l'Évêque;0.3;95.4;91.3;2.3
24116;Châtres;0;95.5;93;0
24117;Les Coteaux Périgourdins;0.4;96.8;85.4;0
24119;Cherval;3.1;97.6;81.3;0
24120;Cherveix-Cubas;0.9;94.4;86.4;0
24121;Chourgnac;0;93.5;78.3;0
24122;Cladech;0;95.7;97.6;0
24123;Clermont-de-Beauregard;2.3;92.7;88.6;2.3
24124;Clermont-d'Excideuil;2.3;96.9;86.4;1.1
24126;Colombier;1.5;99.2;88.2;0
24128;Comberanche-et-Épeluche;0;87.8;94.7;0
24129;Condat-sur-Trincou;0;90.6;88.1;0.9
24130;Condat-sur-Vézère;1.2;94.8;89.5;1.8
24131;Connezac;0;94.9;84;0
24132;Conne-de-Labarde;0.8;95.8;84.6;0
24133;La Coquille;2;86.1;80.4;0.6
24134;Corgnac-sur-l'Isle;1.6;92.4;87.8;0.3
24135;Cornille;0.7;97.3;94;0
24136;Coubjours;2;97;76;0
24137;Coulaures;0.7;92.6;84.5;0.4
24138;Coulounieix-Chamiers;5.4;84.5;84.9;1.4
24139;Coursac;1.2;97.3;93.8;0.3
24140;Cours-de-Pile;1.2;96.5;90.6;0
24141;Coutures;0;91.4;88;0
24142;Coux et Bigaroque-Mouzens;1.2;94.8;87.4;0.2
24143;Couze-et-Saint-Front;2.3;87;81.8;2.3
24144;Creyssac;6.7;96.2;86.7;2.2
24145;Creysse;1;93.4;92.6;0.7
24146;Creyssensac-et-Pissot;2.2;97.5;87.8;0.7
24147;Cubjac-Auvézère-Val d'Ans;0.6;94.8;88;0.9
24148;Cunèges;1.7;97.9;90.1;0
24150;Daglan;0.5;94.4;83.7;0
24151;Doissat;0;100;68.9;0
24152;Domme;1.9;92.3;76.3;0.3
24153;La Dornac;0.5;97.5;92.5;0
24154;Douchapt;0.7;98;96;0
24155;Douville;0;96.8;86.4;1.5
24156;La Douze;1.1;96.3;89.2;0.4
24157;Douzillac;1.5;93.5;93.4;0
24158;Dussac;0.7;92.4;86.8;1.3
24159;Échourgnac;2.1;95.7;77.8;0.7
24160;Église-Neuve-de-Vergt;0.4;96.3;94.1;0.4
24161;Église-Neuve-d'Issac;0;88.7;90.2;0
24162;Escoire;0;96.6;93.9;0.6
24163;Étouars;3.4;95.9;89.7;0
24164;Excideuil;1.4;77.7;68.6;2.3
24165;Eygurande-et-Gardedeuil;0.6;94.1;73.7;2.1
24167;Eymet;0.2;87.6;80.4;0.7
24168;Plaisance;0.6;96.9;85.8;0
24171;Eyzerac;1.2;91.3;90.3;0
24172;Les Eyzies;1.4;95.3;79.1;1.8
24174;Fanlac;2.2;88.9;77.8;0
24175;Les Farges;0.7;90.6;91.6;0.7
24176;Faurilles;0;89.5;57.1;0
24177;Faux;1.1;96.1;89.8;0.4
24179;La Feuillade;0.3;97.6;95.4;0.8
24180;Firbeix;1.8;91.2;80.3;2
24182;Le Fleix;2.1;91.7;88.2;0.2
24183;Fleurac;3.2;94.8;79.9;1.6
24184;Florimont-Gaumier;0;91.5;82.5;0
24186;Fonroque;0;94.4;88.7;1.6
24188;Fossemagne;0;94.1;86.6;0
24189;Fougueyrolles;0.9;93.5;89.2;0.5
24190;Fouleix;1.9;96.5;91.1;0
24191;Fraisse;1.3;90.9;85.9;0
24192;Gabillou;0;90.7;84.4;0
24193;Gageac-et-Rouillac;3;97.4;85.9;1
24194;Gardonne;2;92;89.1;1.3
24195;Gaugeac;0;98.1;73;0
24196;Génis;2;92;77;0
24197;Ginestet;1.9;97.4;90.5;0.6
24199;Gout-Rossignol;1.1;93.4;88;0
24200;Grand-Brassac;0;94.8;88.6;0.5
24202;Granges-d'Ans;0;97.5;87.5;0
24205;Grignols;1.5;95;88;0.4
24206;Grives;0;94;75;0
24207;Groléjac;0.4;97.8;87.5;0.8
24208;Grun-Bordas;0.9;97.9;91.7;0
24209;Hautefaye;0;89.8;88.2;0
24210;Hautefort;1.6;89.2;76.8;1
24211;Issac;0.6;98;87;0.6
24212;Issigeac;0.4;91.5;68.6;3.4
24213;Jaure;1.3;100;90.7;0
24214;Javerlhac-et-la-Chapelle-Saint-Robert;0;90.6;87.1;0
24215;Jayac;1.4;96.7;71.6;0
24216;La Jemaye-Ponteyraud;0;87.5;82.4;0
24217;Journiac;0.5;94;92.6;0
24218;Jumilhac-le-Grand;1.4;93.1;79.1;0
24220;Lacropte;0.7;93.1;87.9;0.3
24221;Rudeau-Ladosse;2.9;93.1;82.9;0
24222;La Force;1.2;94.3;86.6;1.5
24223;Lalinde;2.2;86.8;83;2.2
24224;Lamonzie-Montastruc;0.7;95.7;91.2;0.4
24225;Lamonzie-Saint-Martin;1;96.2;92.9;0.4
24226;Lamothe-Montravel;3.5;92.7;89;0.2
24227;Lanouaille;12.5;88.1;68.8;1
24228;Lanquais;1.5;93.9;85.9;0
24229;Le Lardin-Saint-Lazare;0.3;87.6;88;0.5
24230;Larzac;0;96.8;81;0
24231;Lavalade;2.7;100;86.5;0
24232;Lavaur;2.9;93.3;85.7;0
24234;Les Lèches;0.7;94.5;93.4;0.7
24236;Léguillac-de-l'Auche;2.4;97;91.7;0.2
24237;Lembras;0.2;95.4;92.5;0.7
24238;Lempzours;3.4;88.1;86.2;0
24240;Limeuil;3.1;92.7;73.2;0.8
24241;Limeyrat;0.6;94.8;91.9;0
24242;Liorac-sur-Louyre;0;93.6;85.9;0
24243;Lisle;0.9;87.9;88.7;0
24244;Lolme;0;94.4;87.5;2.1
24245;Loubejac;1.2;96.8;84.6;0
24246;Lunas;0.6;93.3;91.9;0
24247;Lusignac;0;94.9;75.8;0
24248;Lussas-et-Nontronneau;0;95.6;91.7;0
24251;Manzac-sur-Vern;1.6;96.4;89;0
24252;Marcillac-Saint-Quentin;0.3;95.2;89.1;0
24253;Mareuil en Périgord;1.1;92.3;80;0.8
24254;Marnac;1.5;94.7;85.3;1.5
24255;Marquay;1.2;95.9;86.7;0
24256;Marsac-sur-l'Isle;1.8;94.5;90;2.3
24257;Marsalès;1.2;97.4;79.3;3.6
24259;Eyraud-Crempse-Maurens;0.7;96.7;92.1;0.3
24260;Mauzac-et-Grand-Castang;1.7;96.4;89.1;2.6
24261;Mauzens-et-Miremont;1;92.1;85;0
24262;Mayac;1.6;97.2;86.9;0.8
24263;Mazeyrolles;0.9;94.4;80.8;0
24264;Ménesplet;1.2;95.2;92;0.9
24266;Mensignac;1.6;94.5;92.1;0.2
24267;Mescoules;2.6;94.3;91;0
24268;Meyrals;1.6;95.6;88.7;0.3
24269;Mialet;1.8;90.3;74.3;1.2
24271;Milhac-de-Nontron;1.7;89.5;87.5;0.6
24272;Minzac;1.9;97.2;89.3;0.5
24273;Molières;1.7;97.5;72.1;2.6
24274;Monbazillac;2.9;97.3;80.4;1.2
24276;Monestier;3.9;93.9;75.5;0
24277;Monfaucon;0.8;96.7;92;0
24278;Monmadalès;0;97.5;91.4;0
24279;Monmarvès;0;100;88;0
24280;Monpazier;0;85.8;60.8;2.1
24281;Monsac;0;98.9;76;1.3
24282;Monsaguel;1.9;98.5;79.2;0
24284;Montagnac-d'Auberoche;0;93.4;87.5;0
24285;Montagnac-la-Crempse;0.7;94.2;77.8;0.7
24286;Montagrier;4.3;93.1;81.8;0
24287;Montaut;2;98.4;72.5;0
24288;Montazeau;0;95.6;89.7;0
24289;Montcaret;2.5;93.8;82.7;0.7
24290;Montferrand-du-Périgord;0;95.1;71.2;0
24291;Montignac-Lascaux;1.2;84.5;76.5;0.4
24292;Montpeyroux;0.5;96.5;87.3;0.5
24293;Monplaisant;2.3;95.7;93.5;0.9
24294;Montpon-Ménestérol;4;84.9;82.3;1.6
24295;Montrem;1.2;95.8;92.7;0.8
24296;Mouleydier;0.5;92.3;91;0.7
24297;Moulin-Neuf;2.9;93;90.1;1.3
24299;Mussidan;5.3;79;79.9;1.5
24300;Nabirat;0;95.1;89.5;0.8
24301;Nadaillac;0;96.8;89.1;0
24302;Nailhac;0;91.9;78.9;0
24303;Nanteuil-Auriac-de-Bourzac;2.2;96.6;80.5;0
24304;Nantheuil;2.3;92.1;89.3;0
24305;Nanthiat;0;84.8;88.9;0
24306;Nastringues;0;96.3;84.1;0
24307;Naussannes;1.1;94.2;75.9;0
24308;Négrondes;0.9;91.3;89.6;0
24309;Neuvic;2.8;90.4;85.7;1.8
24311;Nontron;0.7;84.2;76.5;1.9
24312;Sanilhac;0.5;93.6;90.9;0.4
24313;Orliac;4.3;96.2;73.9;0
24316;Parcoul-Chenaud;0.7;91.4;90.8;0.7
24317;Paulin;1.1;95.8;76.8;0
24318;Paunat;2.5;96.6;89.8;0
24319;Paussac-et-Saint-Vivien;1.5;93.9;90.2;0.5
24320;Payzac;0.3;92;78.8;0.3
24321;Pazayac;0.3;94.1;91.9;0.6
24322;Périgueux;6.9;72.7;61.9;4.1
24323;Petit-Bersac;0;93.8;88.5;0
24324;Peyrignac;0.5;93.1;91.9;0.5
24325;Pechs-de-l'Espérance;0.3;93.6;91.7;0
24326;Peyzac-le-Moustier;0;94.7;71.8;1.4
24327;Pezuls;0;93.5;79.5;5.1
24328;Piégut-Pluviers;0.5;83.6;81.7;1.4
24329;Le Pizou;1.3;92.9;91.7;0.6
24330;Plazac;0.4;93.9;74.5;0.4
24331;Pomport;0.3;95.9;86.3;0.3
24334;Pontours;2.5;98;82.3;0
24335;Port-Sainte-Foy-et-Ponchapt;2.2;91.1;85.2;3
24336;Prats-de-Carlux;0;96.2;92.1;0
24337;Prats-du-Périgord;0;93.2;90.9;0
24338;Pressignac-Vicq;1.2;94.8;91.2;0
24339;Preyssac-d'Excideuil;3.3;93.1;93.3;0
24340;Prigonrieux;0.9;94.7;92;0.7
24341;Proissans;0.4;96.7;90.9;1.1
24345;Queyssac;0.5;95.3;90.2;0
24346;Quinsac;0;95.4;89.4;0
24347;Rampieux;0;95.6;75.8;0
24348;Razac-d'Eymet;0;93.1;83.1;0
24349;Razac-de-Saussignac;4.2;93.6;76.4;0.7
24350;Razac-sur-l'Isle;1.3;94.8;92.6;0.7
24351;Ribagnac;0.7;95.3;90.6;0
24352;Ribérac;1.8;83.2;78.2;0.7
24353;La Rochebeaucourt-et-Argentine;0.8;88.1;72.6;0.8
24354;La Roche-Chalais;2;87.7;85.6;0.6
24355;La Roque-Gageac;1.3;94.1;76.2;0.6
24356;Rouffignac-Saint-Cernin-de-Reilhac;1.4;93.3;82.8;0.9
24357;Rouffignac-de-Sigoulès;3.4;98.7;87.3;0
24359;Sadillac;2.3;95.7;83.7;2.3
24360;Sagelat;0.8;95;92.6;0.9
24361;Saint-Agne;0;96.8;95.5;0.5
24362;Val de Louyre et Caudeau;1.4;94.6;78;0.6
24364;Coly-Saint-Amand;0.7;95.5;83.7;0.4
24365;Saint-Amand-de-Vergt;0;95.3;85.1;0
24366;Saint-André-d'Allas;0.6;97.6;84.9;0
24367;Saint-André-de-Double;1.4;95.7;87;0
24370;Saint-Antoine-de-Breuilh;1.9;92.9;86.4;1.1
24371;Saint-Aquilin;1.5;92;90.2;0.5
24372;Saint-Astier;3.6;86.3;83.7;1.3
24373;Saint-Aubin-de-Cadelech;0;95.5;88.6;0.8
24374;Saint-Aubin-de-Lanquais;1.7;97.1;86.3;0.5
24375;Saint-Aubin-de-Nabirat;0;95.8;88.7;0
24376;Saint Aulaye-Puymangou;0.5;85.6;78.1;0.7
24377;Saint-Avit-de-Vialard;0;94;80.9;0
24378;Saint-Avit-Rivière;0;97.5;74.1;0
24379;Saint-Avit-Sénieur;0;95.8;80.3;0.7
24380;Saint-Barthélemy-de-Bellegarde;1.7;94.2;90.1;0
24381;Saint-Barthélemy-de-Bussière;0;94.4;77.2;3.7
24382;Saint-Capraise-de-Lalinde;0.5;91.1;85.4;0
24383;Saint-Capraise-d'Eymet;1.4;90.9;83.1;1.4
24384;Saint-Cassien;0;94.1;100;0
24385;Saint-Cernin-de-Labarde;3.4;95.3;81;1.1
24386;Saint-Cernin-de-l'Herm;2.5;91.1;92.8;1.2
24388;Saint-Chamassy;2.3;92.3;94.3;0
24390;Saint-Crépin-d'Auberoche;0.7;95.6;94.2;0
24392;Saint-Crépin-et-Carlucet;0;97.5;80.8;1.2
24393;Sainte-Croix;0;97.7;83.3;0
24394;Sainte-Croix-de-Mareuil;0;90.5;79.6;0
24395;Saint-Cybranet;0;98.3;89.6;0
24396;Saint-Cyprien;2.9;84.1;76.2;1.7
24397;Saint-Cyr-les-Champagnes;0;93.2;86.8;1.8
24398;Saint-Estèphe;1;90.6;84;0.5
24399;Saint-Étienne-de-Puycorbier;2.6;87.9;76.9;0
24401;Sainte-Eulalie-d'Ans;1.1;93.2;88;0
24403;Saint-Félix-de-Bourdeilles;2.9;81.8;68.6;0
24404;Saint-Félix-de-Reillac-et-Mortemart;0;94.4;87.2;1.3
24405;Saint-Félix-de-Villadeix;0.9;95.2;85.7;0.8
24406;Sainte-Foy-de-Belvès;0;97.3;91.3;0
24407;Sainte-Foy-de-Longas;1;95.9;80.6;0
24408;Saint-Front-d'Alemps;0;93.2;87.2;0
24409;Saint-Front-de-Pradoux;1.9;93.6;87.3;0.9
24410;Saint-Front-la-Rivière;0.6;90.9;92.2;0
24411;Saint-Front-sur-Nizonne;1.6;93.2;84.4;0
24412;Saint-Geniès;0.5;93.5;85.9;0.3
24413;Saint-Georges-Blancaneix;0;99.1;96.3;0
24414;Saint-Georges-de-Montclard;0.8;93.8;84;0
24415;Saint-Géraud-de-Corps;1.2;94.8;90.4;2.4
24416;Saint-Germain-de-Belvès;2.7;95.6;84;0
24417;Saint-Germain-des-Prés;0.5;91.6;91.1;0
24418;Saint-Germain-du-Salembre;3.1;93.5;89.6;1.7
24419;Saint-Germain-et-Mons;0.3;96.3;93.7;0.6
24420;Saint-Géry;2.1;95.1;83.6;0
24421;Saint-Geyrac;0;93.8;83.5;0
24422;Saint-Hilaire-d'Estissac;0;93;84.1;0
24423;Saint-Julien-Innocence-Eulalie;0.8;96;75.6;0
24424;Saint-Jean-d'Ataux;4.7;92.6;86;2.3
24425;Saint-Jean-de-Côle;1.5;92.8;85.7;0
24426;Saint-Jean-d'Estissac;1.9;94.8;75.5;0
24428;Saint-Jory-de-Chalais;1.1;91.2;78.4;0.5
24429;Saint-Jory-las-Bloux;0;92.2;78.4;2.3
24432;Saint-Julien-de-Lampon;1.5;94;87.4;0
24434;Saint-Just;0;89.4;88;0
24436;Saint-Laurent-des-Hommes;1.1;95.6;93.6;0.3
24437;Saint-Laurent-des-Vignes;0.8;94.9;86.3;1.1
24438;Saint-Laurent-la-Vallée;0;96;83.9;0
24441;Saint-Léon-d'Issigeac;0;96.9;85.1;2.1
24442;Saint-Léon-sur-l'Isle;2.2;90.4;91.5;1.1
24443;Saint-Léon-sur-Vézère;0;96.3;69.5;0.7
24444;Saint-Louis-en-l'Isle;1.7;92.5;89;0.8
24445;Saint-Marcel-du-Périgord;0;100;83.6;0
24446;Saint-Marcory;0;100;58.3;0
24448;Saint-Martial-d'Albarède;2.2;92.6;84.5;2.8
24449;Saint-Martial-d'Artenset;3;94.1;87.3;1.1
24450;Saint-Martial-de-Nabirat;0.5;93.1;87.8;1.1
24451;Saint-Martial-de-Valette;0;89.9;89.7;1.2
24452;Saint-Martial-Viveyrol;3.9;96;77.6;0
24453;Saint-Martin-de-Fressengeas;1.4;94.9;85.6;0
24454;Saint-Martin-de-Gurson;0;93.5;90.6;0.4
24455;Saint-Martin-de-Ribérac;0.4;96.6;93.6;1.7
24456;Saint-Martin-des-Combes;1.1;96.7;87.5;0
24457;Saint-Martin-l'Astier;1.8;96.9;92.7;3.6
24458;Saint-Martin-le-Pin;0;95.1;80.9;1.8
24459;Saint-Mayme-de-Péreyrol;2.3;94;84.7;0
24460;Saint-Méard-de-Drône;2.9;92.9;90.6;1
24461;Saint-Méard-de-Gurçon;0.6;94.8;83.1;0
24462;Saint-Médard-de-Mussidan;3.6;90.3;87.2;1.6
24463;Saint-Médard-d'Excideuil;0.4;94.6;83.2;0.9
24464;Saint-Mesmin;1.8;93;68.5;1.8
24465;Saint-Michel-de-Double;0;91.2;85.3;0
24466;Saint-Michel-de-Montaigne;2.9;96.5;83.5;0
24468;Saint-Michel-de-Villadeix;0;96.6;87.3;0
24470;Sainte-Mondane;0.7;97.1;83.2;0
24471;Sainte-Nathalène;0.7;97.8;90.2;0
24472;Saint-Nexans;0.7;97.1;92.7;0.2
24473;Sainte-Orse;2.6;88.5;77.7;0
24474;Saint-Pancrace;1.4;94.9;91.3;0
24476;Saint-Pantaly-d'Excideuil;2.7;95.9;87.8;0
24477;Saint-Pardoux-de-Drône;0;93.6;97.2;0
24478;Saint-Pardoux-et-Vielvic;2.6;91.8;90.9;1.3
24479;Saint-Pardoux-la-Rivière;1;87.1;81.2;2.1
24480;Saint-Paul-de-Serre;0;97.2;93;0
24481;Saint-Paul-la-Roche;0.5;94.2;81.9;0.5
24482;Saint-Paul-Lizonne;0.9;88.3;80.3;1.9
24483;Saint-Perdoux;2;96.9;84.3;0
24484;Saint-Pierre-de-Chignac;1.6;94.1;89.7;0
24485;Saint-Pierre-de-Côle;1.8;93.7;87;0
24486;Saint-Pierre-de-Frugie;5.1;91;74.7;1.1
24487;Saint-Pierre-d'Eyraud;2.2;95.2;84.2;0.8
24488;Saint-Pompon;0;88.6;80.1;1.6
24489;Saint-Priest-les-Fougères;2.5;94;84.5;0
24490;Saint Privat en Périgord;0.8;94.1;89.5;0.3
24491;Saint-Rabier;0.9;93.7;80.2;0
24492;Sainte-Radegonde;3;95;72.7;0
24493;Saint-Raphaël;3.1;96.1;90.6;0
24494;Saint-Rémy;2.5;95.3;90.4;0
24495;Saint-Romain-de-Monpazier;2.4;95.3;76.2;0
24496;Saint-Romain-et-Saint-Clément;0;94.8;88.5;0
24498;Saint-Saud-Lacoussière;1.1;91.5;78.9;0.7
24499;Saint-Sauveur;0.6;97.2;92.1;0
24500;Saint-Sauveur-Lalande;0;90.6;84.9;1.9
24501;Saint-Seurin-de-Prats;2.4;94.6;80.7;2.4
24502;Saint-Séverin-d'Estissac;0;100;94.4;0
24504;Saint-Sulpice-de-Roumagnac;1;91;91.3;0
24505;Saint-Sulpice-d'Excideuil;0.7;92.6;84.2;0
24507;Sainte-Trie;0;96.3;81.3;0
24508;Saint-Victor;2.8;94.2;83.5;0
24509;Saint-Vincent-de-Connezac;1.7;91.5;86.1;1.2
24510;Saint-Vincent-de-Cosse;3.5;96;76.5;0.7
24511;Saint-Vincent-Jalmoutiers;0;93.8;91.8;0
24512;Saint-Vincent-le-Paluel;0;96.6;94.4;0
24513;Saint-Vincent-sur-l'Isle;0;98;96.2;0
24514;Saint-Vivien;1.1;93.2;91.4;0
24515;Salagnac;10.7;84.3;50.2;1.2
24516;Salignac-Eyvigues;0.7;93.9;87;0.8
24517;Salles-de-Belvès;0;94.3;88.6;0
24518;Salon;1.7;93.5;90.7;0
24519;Sarlande;1.7;94.4;75.5;0.6
24520;Sarlat-la-Canéda;2.8;83.1;77.4;1
24521;Sarliac-sur-l'Isle;1.6;96.2;92.2;0.9
24522;Sarrazac;0;93.5;77.6;0
24523;Saussignac;0.6;97.5;79.6;0.6
24524;Savignac-de-Miremont;1.2;96.3;90;0
24525;Savignac-de-Nontron;0;88.5;91.3;0
24526;Savignac-Lédrier;0.4;91.4;82.5;1.2
24527;Savignac-les-Églises;0.6;90.6;92.4;0
24528;Sceau-Saint-Angel;0;91.2;96.6;0
24529;Segonzac;0;95.6;89.2;0
24531;Sergeac;0;94.4;73.4;0
24532;Serres-et-Montguyard;0;98.2;81.9;0
24533;Servanches;0;90.5;77.8;0
24534;Sigoulès-et-Flaugeac;1.2;94.9;88.4;1
24535;Simeyrols;4.4;97.3;84.6;0
24536;Singleyrac;0.8;94;87.6;0
24537;Siorac-de-Ribérac;3.3;88.9;86.5;0
24538;Siorac-en-Périgord;0.9;88.6;85.5;0.3
24540;Sorges et Ligueux en Périgord;1;96.4;91.5;0
24541;Soudat;5.6;97.8;80.6;0
24542;Soulaures;0;94.4;95.3;2.3
24543;Sourzac;1;94.3;90.3;0.5
24544;Tamniès;0;93.7;89;0
24545;Teillots;0;90.4;87.1;0
24546;Temple-Laguyon;0;85.7;84.6;0
24547;Terrasson-Lavilledieu;1;83.6;86;1.2
24548;Teyjat;0;92.2;90.4;0
24549;Thénac;0.4;95.9;69.1;0.9
24550;Thenon;1;84.9;80.1;1.2
24551;Thiviers;2.2;79.3;76.3;1.1
24552;Thonac;0;94.8;83.6;0
24553;Tocane-Saint-Apre;1.5;85.1;82.5;4.4
24554;La Tour-Blanche-Cercles;1;90.8;79.6;1
24555;Tourtoirac;2.9;91.6;82.4;0.5
24557;Trélissac;3.7;89.3;85.7;2.5
24558;Trémolat;3.9;94.1;76.2;1
24559;Tursac;0.8;94.3;81.8;0
24560;Urval;4.5;91.8;84.1;0
24562;Vallereuil;1.8;91.1;89;0
24563;Valojoulx;0;95.6;82.1;0.9
24564;Vanxains;1.1;94.9;87;0.4
24565;Varaignes;1.5;91.9;83.3;0.7
24566;Varennes;0;93.8;96.1;0
24567;Vaunac;0;93.4;93;0
24568;Vélines;2.2;90;85.9;1.4
24569;Vendoire;0;97.1;83;0
24570;Verdon;0;95.2;100;0
24571;Vergt;1.4;87.6;84.3;0.7
24572;Vergt-de-Biron;1.6;93.4;68.3;1.6
24573;Verteillac;0;88.4;75;2.2
24574;Veyrignac;0;98.8;94.5;0
24575;Veyrines-de-Domme;1;93.3;81.2;0
24576;Veyrines-de-Vergt;1.9;96;94.3;0
24577;Vézac;0.5;95.1;89;0
24580;Villac;1.6;97.6;80.3;0
24581;Villamblard;1.3;91.5;80.3;1.4
24582;Villars;0.6;92.5;82.5;0.6
24584;Villefranche-de-Lonchat;2.9;91.5;87.2;0.5
24585;Villefranche-du-Périgord;1;85.4;69.8;0
24586;Villetoureix;1.4;94;87.8;1
24587;Vitrac;0.8;96.3;88.4;0
25001;Abbans-Dessous;0.8;92;95.7;0
25002;Abbans-Dessus;2.9;99.3;92.6;1.5
25003;Abbenans;0.9;93.7;96.4;0
25004;Abbévillers;0.7;96;93;0.4
25005;Accolans;2.6;95.2;94.7;0
25006;Adam-lès-Passavant;2.6;97.1;79.5;0
25007;Adam-lès-Vercel;2;89.5;92.2;0
25008;Aibre;2.8;93.5;92.1;0
25009;Aïssey;1.2;94.3;75;0
25011;Allenjoie;1.3;96;90.7;1.6
25012;Les Alliés;2.1;94.3;89.4;1.1
25013;Allondans;0;95.6;98.1;0
25014;Amagney;3.4;94;88.2;1.8
25015;Amancey;0.9;86.2;85.4;0.6
25016;Amathay-Vésigneux;0;95.1;90.9;0
25017;Amondans;2.2;93;87;0
25018;Anteuil;3.5;93.6;85.1;0.7
25019;Appenans;4.1;95.9;85.3;1.8
25020;Arbouans;5.9;87.9;84.4;1.2
25021;Arc-et-Senans;5.5;90.3;84.1;0.8
25022;Arcey;1.7;93.9;91.1;0.6
25024;Arçon;0.9;97.3;87.4;1.3
25025;Arc-sous-Cicon;0.8;97.9;88.3;1.6
25026;Arc-sous-Montenot;0;97;87.6;1
25029;Aubonne;0;94.4;82.5;0.8
25030;Audeux;1;98.1;95.2;0
