Insee - Statistiques locales; ; ; ; ; 
Référentiel géographique : France par commune; ; ; ; ; 
Code;Libellé;Part des actifs occupés de 15 ans ou plus  les transports en commun 2021;Part des ménages ayant au moins 1 voiture 2021;Part des actifs occ 15 ans ou plus voiture pour travailler 2021;Part des actifs occ 15 ans ou plus vélo pour travailler 2021
01139;Curciat-Dongalon;1.7;95.2;81.9;1.1
01140;Curtafond;0.3;95.3;91.4;0.5
01141;Cuzieu;3.4;96.8;90.3;0
01142;Dagneux;9.1;94.4;80.6;1.8
01143;Divonne-les-Bains;7.8;93.6;77.2;3.2
01145;Dompierre-sur-Veyle;4.2;93.2;86.5;0
01146;Dompierre-sur-Chalaronne;5.2;98.8;90;0
01147;Domsure;1.2;94;91.4;1.2
01148;Dortan;0.7;92.1;93;0.6
01149;Douvres;6.9;97.1;86.5;0.8
01150;Drom;0.9;95.7;87.1;3.4
01151;Druillat;1.7;95.5;91.8;0.2
01152;Échallon;3.2;97;91.3;0
01153;Échenevex;3.3;98.3;87.7;0.6
01155;Évosges;2.9;97.2;88.2;0
01156;Faramans;8;96.7;86.5;0
01157;Fareins;3.7;96.1;88.3;1.3
01158;Farges;3.6;95.8;87.6;1.1
01159;Feillens;1.8;94.5;90.1;1.6
01160;Ferney-Voltaire;22.1;81.8;56.6;5.7
01162;Flaxieu;6.7;100;90;3.3
01163;Foissiat;1.1;94.9;89.9;0.3
01165;Francheleins;2.9;97.8;90.1;0.1
01166;Frans;5.4;96.9;87.7;0.6
01167;Garnerans;0.9;94.1;92.1;0.3
01169;Genouilleux;5.6;98.3;88.6;0
01170;Béard-Géovreissiat;0.7;95.9;94.6;0.6
01171;Géovreisset;0.5;97.5;93.7;0
01173;Gex;7.4;93.1;81.5;1
01174;Giron;1.1;96.2;83;0
01175;Gorrevod;1.4;95.1;92.4;1.2
01177;Grand-Corent;1.3;97.6;93.4;0
01179;Grièges;2.4;95.5;89.7;1
01180;Grilly;3.4;97.1;82.1;3.9
01181;Groissiat;0.4;96.5;93;0.6
01183;Guéreins;4.4;97.3;89.4;0.4
01184;Hautecourt-Romanèche;1.7;95.3;92.4;0.6
01185;Plateau d'Hauteville;2.1;84.3;72.5;1.4
01187;Haut Valromey;1.8;97.4;81.9;0.4
01188;Illiat;2.4;99.2;91.9;0
01189;Injoux-Génissiat;6.2;96.9;87;0.2
01190;Innimond;2.6;93.6;68.4;0
01191;Izenave;0;97.4;93.9;0
01192;Izernore;0.7;94.3;89.6;1.8
01193;Izieu;1.2;94.9;89.2;2.5
01194;Jassans-Riottier;7.5;88.8;83.3;1
01195;Jasseron;1.7;97.4;92.1;0.8
01196;Jayat;1.4;97.5;89.7;0.6
01197;Journans;0.6;96.7;91.1;0
01198;Joyeux;5.9;95.8;81.8;0
01199;Jujurieux;3.9;90.9;86;1.3
01200;Labalme;0;92.3;88.9;0
01202;Lagnieu;3.6;89.4;85.5;1.2
01203;Laiz;2;96.3;87.6;1.2
