Insee - Statistiques locales; ; ; 
Référentiel géographique : France par commune; ; ; 
Code;Libellé;Nb de ménages fiscaux 2021;Médiane du niveau de vie 2021
01234;Marignieu;68;23750
01235;Marlieux;468;22870
01236;Marsonnas;409;24430
01237;Martignat;648;24590
01238;Massieux;1060;28590
01239;Massignieu-de-Rives;257;23900
01240;Matafelon-Granges;279;24660
01241;Meillonnas;584;26000
01242;Mérignat;59;20070
01243;Messimy-sur-Saône;505;27580
01244;Meximieux;3395;24890
01245;Bohas-Meyriat-Rignat;392;25140
01246;Mézériat;936;23740
01247;Mijoux;138;31560
01248;Mionnay;913;29130
01249;Miribel;4028;26720
01250;Misérieux;716;27460
01252;Mogneneins;327;26260
01254;Montagnat;859;27200
01255;Montagnieu;264;22080
01257;Montanges;145;30110
01258;Montceaux;473;27440
01259;Montcet;263;24810
01260;Le Montellier;120;28850
01261;Monthieux;260;28010
01262;Montluel;2980;23590
01263;Montmerle-sur-Saône;1651;25970
01264;Montracol;409;25180
01265;Montréal-la-Cluse;1522;21010
01266;Montrevel-en-Bresse;1256;22720
01267;Nurieux-Volognat;398;25120
01268;Murs-et-Gélignieux;99;24830
01269;Nantua;1398;18370
01272;Neuville-les-Dames;686;23200
01273;Neuville-sur-Ain;747;23060
01274;Les Neyrolles;244;20810
01275;Neyron;988;30240
01276;Niévroz;568;28000
01277;Nivollet-Montgriffon;63;23550
01279;Oncieu;N/A - résultat non disponible;N/A - résultat non disponible
01280;Ordonnaz;74;23420
01281;Ornex;1636;37070
01282;Outriaz;103;25470
01283;Oyonnax;9011;18340
01284;Ozan;288;23270
01285;Parcieux;496;29480
01286;Parves et Nattages;404;26600
01288;Péron;955;39700
01289;Péronnas;2786;24100
01290;Pérouges;587;26770
01291;Perrex;342;24000
01293;Peyriat;62;24740
01294;Peyrieu;347;23600
01295;Peyzieux-sur-Saône;227;24570
01296;Pirajoux;158;22920
01297;Pizay;341;27060
01298;Plagne;62;29270
01299;Le Plantay;200;25540
01301;Polliat;1140;25060
01302;Pollieu;74;24270
01303;Poncin;807;22280
01304;Pont-d'Ain;1191;22810
01305;Pont-de-Vaux;1095;21070
01306;Pont-de-Veyle;725;21330
01307;Port;362;22270
01308;Pougny;295;41270
01309;Pouillat;N/A - résultat non disponible;N/A - résultat non disponible
01310;Prémeyzel;48;24070
01311;Prémillieu;N/A - résultat non disponible;N/A - résultat non disponible
01313;Prévessin-Moëns;3084;44430
01314;Priay;739;25110
01317;Ramasse;131;24270
01318;Rancé;260;29400
01319;Relevant;186;25090
