Insee - Statistiques locales; ; ; 
Référentiel géographique : France par intercommunalité; ; ; 
Code;Libellé;Population municipale (historique depuis 1876) 2021;Densité de population (historique depuis 1876) 2021
200067965;Communauté d'agglomération de la Région de Compiègne et de la Basse Automne;83014;314.7
200067973;Communauté de communes Thelloise;61447;196.1
200067981;Communauté d'agglomération Guingamp-Paimpol Agglomération de l'Armor à l'Argoat;73567;66.4
200067999;Communauté d'agglomération du Beauvaisis;103890;192.8
200068005;Communauté de communes de l'Oise Picarde;20934;52.9
200068047;Communauté d'agglomération Creil Sud Oise;88682;1062.2
200068070;Communauté de communes Loue-Lison;25338;38
200068088;Communauté de communes Les Bertranges;19700;33.4
200068096;Communauté de communes Champsaur-Valgaudemar;11409;14.9
200068104;Communauté d'agglomération de la Provence Verte;101989;107.6
200068112;Communauté de communes du Pays de Saverne;35780;146.7
200068120;Communauté d'agglomération Quimper Bretagne Occidentale;101591;211.9
200068146;Communauté de communes Sarrebourg Moselle Sud;45308;56
200068229;Communauté de communes des Baronnies en Drôme Provençale;20852;19.3
200068278;Communauté de communes Berry Loire Puisaye;17657;32.3
200068294;Communauté de communes des Deux Vallées Vertes;15654;40.1
200068369;Communauté de communes de Mirecourt Dompaire;18560;39.2
200068377;Communauté de communes de la Porte des Vosges Méridionales;29080;110.7
200068435;Communauté de communes Cœur du Perche;11113;28.6
200068443;Communauté de communes Andaine - Passais;12950;38.6
200068450;Communauté de communes Terres d'Argentan Interco;33237;46.5
200068468;Communauté de communes des Pays de L'Aigle;25189;46.1
200068484;Communauté de communes des Causses à l'Aubrac;14557;19.6
200068500;Communauté d'agglomération de Cambrai;80510;195.8
200068534;Communauté de communes Terroir de Caux;37843;77.3
200068542;Communauté de communes Les Balcons du Dauphiné;78100;126.5
200068559;Communauté de communes de l'Ouest Vosgien;23136;31.8
200068567;Communauté de communes Les Vals du Dauphiné;64006;184.3
200068625;Communauté de communes Alpes-Provence-Verdon - Sources de Lumière;11388;6.6
200068641;Communauté d'agglomération Le Muretain Agglo;126409;395.3
200068658;Communauté d'agglomération de Chaumont;43994;47.5
200068666;Communauté d'agglomération de Saint-Dizier Der et Blaise;56086;60.3
200068674;Communauté d'agglomération Grand Lac;78824;262.8
200068682;Communauté de communes Terre d'Eau;17228;41.5
200068757;Communauté d'agglomération d'Épinal;110394;98.7
200068765;Communauté de communes du Sisteronais-Buëch;25315;17
200068773;Communauté de communes des Vosges côté Sud Ouest;11661;16.8
200068781;Communauté d'agglomération Valence Romans Agglo;223777;237.9
200068799;Communauté de communes Intercom de la Vire au Noireau;46235;58.6
200068807;Communauté de communes du Bassin Auterivain Haut-Garonnais;33689;107.8
200068815;Communauté de communes Cœur de Garonne;35015;61.4
200068831;Communauté de communes Pays Ségali Communauté;18180;31.3
200068856;Communauté de communes des Hauts du Perche;7954;20.5
200068864;Communauté de communes de la Mossig et du Vignoble;24756;142.1
200068872;Communauté de communes Éguzon - Argenton - Vallée de la Creuse;19415;42.9
200068880;Communauté de communes Champagne Boischauts;9699;13.6
200068914;Communauté de communes La Rochefoucauld porte du Périgord;21773;46.5
200068922;Communauté de communes du Confluent et des Coteaux de Prayssas;17900;47.1
200068930;Communauté de communes Fumel Vallée du Lot;24608;54.6
200068948;Communauté de communes Albret Communauté;25858;34.9
200068955;Communauté de communes Anjou Loir et Sarthe;28136;62
200068963;Communauté de communes Maine Cœur de Sarthe;21754;115.9
200068989;Communauté d'agglomération Dinan Agglomération;103533;106.3
200068997;Communauté d'agglomération Arlysère;61757;80.9
200069003;Communauté de communes du Barséquanais en Champagne;18384;22.6
200069029;Communauté d'agglomération des Deux Baies en Montreuillois;65760;160.7
200069037;Communauté d'agglomération du Pays de Saint-Omer;104937;193
200069052;Communauté d'agglomération Grand Belfort;100988;385.4
200069060;Communauté de communes des Vosges du Sud;15067;86
200069086;Communauté de communes Leff Armor Communauté;31782;74.1
200069094;Communauté de communes Isle et Crempse en Périgord;14444;33.7
200069102;Communauté de communes Randon - Margeride;5234;8
200069110;Communauté d'agglomération du Grand Chambéry;139738;265.4
200069128;Communauté de communes Mont Lozère;5727;8
200069136;Communauté de communes des Cévennes au Mont Lozère;5055;8.2
200069144;Communauté de communes des Hautes Terres de l'Aubrac;5018;9.1
200069151;Communauté de communes Gorges Causses Cévennes;6907;7.6
200069169;Communauté de communes Dômes Sancy Artense;12586;18.2
200069177;Communauté de communes Mond'Arverne Communauté;40804;132.8
200069185;Communauté de communes des Terres d'Apcher-Margeride-Aubrac;10571;24.3
200069193;Communauté de communes de la Dombes;40011;63.4
200069227;Communauté de communes Pays Fort Sancerrois Val de Loire;18133;26.4
200069235;Communauté de communes du Haut Pays du Montreuillois;15703;37.3
200069250;Communauté d'agglomération Troyes Champagne Métropole;175193;196.9
200069268;Aubrac Lot Causses Tarn;7896;13.6
200069300;Communauté d'agglomération Tarbes-Lourdes-Pyrénées;127248;207
200069383;Communauté de communes Ouest Aveyron Communauté;27363;41
200069391;Communauté d'agglomération Lamballe Terre et Mer;68589;75.1
200069409;Communauté d'agglomération Saint-Brieuc Armor Agglomération;153321;255.2
200069417;Communauté de communes Pays d'Orthe et Arrigans;24183;61.9
200069425;Communauté d'agglomération Mont-Saint-Michel-Normandie;87417;56.6
200069433;Communauté de communes de Vezouze en Piémont;11576;26
200069441;Communauté de communes du Pays de Bitche;33343;55.4
200069458;Communauté de communes des Vallées d'Auge et du Merlerault;14216;26.7
200069482;Communauté de communes des Campagnes de l'Artois;33141;59.8
200069516;Communauté de communes Seulles Terre et Mer;17461;89.1
200069524;Communauté de communes Pré-Bocage Intercom;24798;59.5
200069532;Communauté d'agglomération Lisieux Normandie;72812;76.5
200069540;Communauté de communes Norge et Tille;16416;131.1
200069565;Communauté de communes des Lacs et Montagnes du Haut-Doubs;16493;39.3
200069581;Communauté de communes Convergence Garonne;32740;104.8
200069599;Communauté de communes rurales de l'Entre-Deux-Mers;16580;37.2
200069615;Communauté de communes Bresse Haute Seille;19118;43.6
200069623;Communauté de communes Champagnole Nozeroy Jura;22840;36.7
200069631;Communauté de communes Terres de Chalosse;18200;58.3
200069649;Communauté de communes Chalosse Tursan;26080;44.4
200069656;Communauté de communes Cœur Haute Lande;16042;9
200069664;Communauté de communes Meuse Rognon;10531;12.4
200069672;Communauté de communes du Ternois;37469;59.1
200069698;Communauté de communes Mâconnais - Tournugeois;15793;72.5
200069722;Communauté de communes interrégionale Aumale - Blangy-sur-Bresle;21305;45.9
200069730;Communauté de communes des 4 rivières;28850;47.5
200069748;Communauté de communes Val de Gâtine;21611;39.1
200069755;Communauté de communes Mellois en Poitou;46712;36.4
200069763;Communauté de communes du Haut-Poitou;41814;60.3
200069821;Communauté d'agglomération Fécamp Caux Littoral Agglomération;38312;185
200069839;Communauté de communes de la Côte d'Albâtre;27658;71.4
200069847;Communauté de communes Plateau de Caux;21264;84.2
200069854;Communauté urbaine du Grand Poitiers;197277;185.3
200069912;Communauté de communes des Forêts du Perche;7669;24.4
200069953;Communauté de communes des Portes Euréliennes d'Île-de-France;48515;121.1
200069961;Communauté de communes du Grand Châteaudun;39750;50.5
200069995;Communauté de communes Médoc Cœur de Presqu'île;30687;61.8
200070035;Communauté de communes du Civraisien en Poitou;26926;30.3
200070043;Communauté de communes Vienne et Gartempe;38830;19.5
200070068;Communauté de communes Communauté Bray-Eawy;24961;51.1
200070092;Communauté d'agglomération du Libournais;92605;162.8
200070100;Communauté de communes du Val de Sully;24156;40.9
200070118;Communauté de communes Val de Saône Centre;20967;133.1
200070126;Communauté de communes Seine et Aube;10193;26.5
200070142;Communauté de communes Lyons Andelle;20600;74.8
200070159;Communauté de communes Cœur de Beauce;24298;25.2
200070167;Communauté de communes Terres de Perche;14121;38.4
200070183;Communauté de communes des Terres du Val de Loire;49674;75.4
200070233;Communauté d'agglomération Terres de Montaigu;50102;132.1
200070282;Communauté de communes Lavalette Tude Dronne;17545;23.2
200070290;Communauté de communes Coeur du Pays Haut;23226;110.3
200070308;Communauté d'agglomération Mâconnais Beaujolais Agglomération;78980;264.9
200070316;Communauté de communes Entre Arroux, Loire et Somme;21705;25.1
200070324;Communauté de communes du Territoire de Lunéville à Baccarat;40556;89.7
200070332;Communauté de communes des Savoir-Faire;15082;18.7
200070340;Communauté de communes Haute Maurienne Vanoise;8484;10
200070365;Communauté de communes Corbières Salanque Méditerranée;24429;44.5
200070373;Communauté de communes Loir-Lucé-Bercé;23323;43.4
200070407;Communauté d'agglomération Agglo Pays d'Issoire;56594;55.6
200070431;Communauté de communes Saint-Marcellin Vercors Isère Communauté;44797;75.1
200070449;Communauté de communes Inter-Caux-Vexin;55769;102.6
200070464;Communauté de communes Cœur de Maurienne Arvan;14362;40.3
200070506;Communauté de communes Pays de Nexon Monts de Chalus;13032;33
200070514;Communauté d'agglomération du Grand Cognac;68951;91.4
200070530;Communauté de communes du Grand Autunois Morvan;35222;28.1
200070548;Communauté de communes Brionnais Sud Bourgogne;14974;51.5
200070555;Communauté de communes de la Veyle;23185;109.4
200070563;Communauté de communes Terres Touloises;44575;95.3
200070571;Communauté de communes Cœur de Berry;6876;33.1
200070589;Communauté de communes de Seille et Grand Couronné;18894;54.7
200070647;Communauté d'agglomération Bergeracoise;60766;103.6
200070662;Communauté de communes Bretagne porte de Loire Communauté;32530;70.4
200070670;Communauté de communes du Pays de Dol et de la Baie du Mont Saint-Michel;23791;74
200070688;Communauté de communes Couesnon Marches de Bretagne;21978;55.3
200070712;Communauté de communes Thiers Dore et Montagne;36707;58.8
200070720;Communauté de communes Médoc Atlantique;27524;26.6
200070738;Communauté de communes Mad et Moselle;19143;41.9
200070746;Communauté d'agglomération Sarreguemines Confluences;63550;186.6
200070753;Communauté d'agglomération Riom Limagne et Volcans;67978;169.2
200070761;Communauté de communes Ambert Livradois Forez;27571;22.4
200070779;Communauté de communes Brie des Rivières et Châteaux;40141;109.6
200070787;Communauté de communes du Plateau de Lannemezan;17665;41.1
200070795;Communauté de communes du Pays de Trie et du Magnoac;6798;20.6
200070803;Communauté de communes des Coteaux du Val d'Arros;11065;42.5
200070811;Communauté de communes Pyrénées Vallées des Gaves;15226;15.3
200070829;Communauté de communes Neste Barousse;7292;24
200070845;Communauté de communes Orne Lorraine Confluences;52938;134.8
200070852;Communauté de communes Usses et Rhône;21160;77.3
200070894;Communauté de communes de Gevrey-Chambertin et de Nuits-Saint-Georges;29706;60.3
200070902;Communauté de communes Auxonne Pontailler Val de Saône;23390;60.8
200070910;Communauté de communes Tille et Venelle;4931;15.8
200070928;Communauté de communes Terre de Picardie;18039;61
200070936;Communauté de communes Ponthieu-Marquenterre;32784;41.8
200070944;Communauté de communes du Vimeu;22388;118
200070951;Communauté de communes du Territoire Nord Picardie;30892;57.5
200070969;Communauté de communes Avre Luce Noye;21689;56.3
200070977;Communauté de communes du Grand Roye;25231;63.6
200070985;Communauté de communes de l'Est de la Somme;19829;75
200070993;Communauté d'agglomération de la Baie de Somme;48169;120.8
200071017;Communauté de communes des Terres d'Auxois;15632;20.3
200071025;Communauté de communes Haute-Provence-Pays de Banon;9929;20.7
200071033;Communauté de communes Jabron-Lure-Vançon-Durance;5328;17.4
200071041;Communauté de communes du Chaourçois et du Val d'Armance;10302;17.5
200071058;Communauté de communes Les Avant-Monts;27723;78.5
200071066;Communauté d'agglomération de Saint-Dié-des-Vosges;73353;74.9
200071074;Communauté de communes Les Portes de l'Ile de France;22945;159
200071082;Communauté d'agglomération Montluçon Communauté;59471;157.4
200071116;Communauté d'agglomération ECLA  (Espace Communautaire Lons Agglomération);34122;173.4
200071140;Communauté d'agglomération Moulins Communauté;64257;48.1
200071165;Communauté d'agglomération Les Sables d'Olonne Agglomération;57953;336.7
200071173;Communauté de communes du Pays Arnay Liernais;7014;14.8
200071181;Communauté de communes Somme Sud-Ouest;38230;42
200071199;Communauté de communes Plaine Limagne;21391;60.6
200071207;Communauté de communes de Pouilly-en-Auxois/Bligny-sur-Ouche;8688;17.5
200071215;Communauté de communes Chavanon Combrailles et Volcans;12642;15
200071223;Communauté de communes Nièvre et Somme;27736;88.3
200071298;Communauté de communes des Terres du Lauragais;41864;67.8
200071314;Communauté de communes des Hauts-Tolosans;35414;94.5
200071363;Communauté d'agglomération Vichy Communauté;84216;113.6
200071371;Communauté de communes Bresse et Saône;25640;99.3
200071389;Communauté de communes Saint-Pourçain Sioule Limagne;33768;37.1
200071405;Communauté de communes Ardèche Rhône Coiron;23177;82.5
200071413;Communauté d'agglomération Privas Centre Ardèche;43933;73
200071454;Communauté d'agglomération Evreux Portes de Normandie;110950;168.3
200071470;Communauté de communes Entr'Allier Besbre et Loire;24374;22.4
200071496;Communauté de communes du Bocage Bourbonnais;13680;18.6
200071504;Communauté de communes des Collines du Perche Normand;11954;33
200071512;Communauté de communes Commentry Montmarault Néris Communauté;25528;35.1
200071520;Communauté de communes Domfront Tinchebray Interco;15805;43.1
200071538;Communauté de communes Terres de Bresse;22516;57
200071546;Communauté de communes Sud Retz Atlantique;25410;71.9
200071553;Communauté de communes Loire Layon Aubance;56823;93.6
200071579;Communauté de communes Bresse Louhannaise Intercom';28283;55.5
200071587;Communauté de communes Loches Sud Touraine;50640;28
200071595;Communauté de communes Arbois, Poligny, Salins, Cœur du Jura;21531;36
200071629;Communauté de communes Challans-Gois Communauté;49723;112.9
200071645;Communauté de communes Saint Cyr Mère Boitier entre Charolais et Mâconnais;8024;31.1
200071652;Communauté de communes du Pays Fertois et du Bocage Carrougien;4853;21
200071678;Communauté d'agglomération Cholet Agglomération;104470;132.6
200071751;Communauté d'agglomération du Bassin de Bourg-en-Bresse;134405;108.7
200071769;Communauté de communes Picardie des Châteaux;16886;58
200071777;Communauté de communes d'Arcis, Mailly, Ramerupt;11799;19.4
200071785;Communauté d'agglomération Chauny-Tergnier-La Fère;54679;142.8
200071819;Communauté de communes du Périgord Nontronnais;15112;27
200071827;Communauté d'agglomération du Grand Angoulême;141997;220.6
200071843;Communauté de communes du Vexin Normand;32669;94.4
200071850;Communauté de communes du Pithiverais-Gâtinais;25693;59.4
200071868;Communauté de communes des Vallées du Haut-Anjou;36309;57.2
200071876;Communauté d'agglomération Saumur Val de Loire;98301;79.7
200071884;Communauté de communes Le Grand Charolais;39682;42.1
200071892;Communauté d'agglomération du Saint-Quentinois;79401;270.8
200071900;Communauté de communes Vendée Grand Littoral;35511;70.4
200071918;Communauté de communes du Pays de Saint-Fulgent - Les Essarts;28768;88.6
200071926;Communauté de communes du Limouxin;27762;35.1
200071934;Communauté de communes Pays de Fontenay-Vendée;35348;76.3
200071942;Communauté de communes Haut Limousin en Marche;22386;17.7
200071967;Communauté de communes Pays d'Évian Vallée d'Abondance;42574;132
200071983;Communauté de communes Thiérache Sambre et Oise;16499;50.1
200071991;Communauté de communes Retz-en-Valois;28978;54.2
200072007;Communauté de communes de la Montagne d'Ardèche;4817;7
200072015;Communauté d'agglomération Annonay Rhône Agglo;49674;157.1
200072023;Communauté de communes Cœur de Charente;21946;36.4
200072031;Communauté d'agglomération de la Région de Château-Thierry;54283;61.7
200072049;Communauté de communes de Charente Limousine;35198;25.2
200072056;Communauté de communes Porte du Jura;10537;50.8
200072064;Communauté de communes Val-de-Cher-Controis;46971;58.2
200072072;Communauté d'agglomération Territoires Vendômois;52344;50.3
200072080;Communauté de communes du Pays de Saint-Éloy;15492;22.7
200072098;Communauté de communes Combrailles Sioule et Morge;19646;46
200072106;Communauté de communes Adour Madiran;23955;45.6
200072130;Communauté d'agglomération du Pays de Meaux;108794;507.4
200072304;Communauté de communes Vallée de l'Ubaye - Serre-Ponçon;7617;7.5
200072312;Communauté d'agglomération Seine Normandie Agglomération;82814;118.9
200072320;Communauté de communes Val de Gers;9853;19.2
200072346;Communauté d'agglomération du Pays de Fontainebleau;69175;158.2
200072452;Communauté d'agglomération Fougères Agglomération;56070;104.1
200072460;Communauté d'agglomération de Béthune-Bruay, Artois-Lys Romane;275327;426.5
200072478;Communauté de communes Pays d'Opale;25186;133
200072544;Communauté de communes des Deux Morin;26517;67.3
200072635;Communauté de communes Pyrénées Haut Garonnaises;15464;24.3
200072643;Communauté de communes Cœur et Coteaux du Comminges;44068;44.7
200072650;Communauté de communes Touraine Vallée de l'Indre;54026;111.4
200072668;Communauté de communes Touraine Val de Vienne;24820;36.3
200072676;Communauté de communes Maine Saosnois;27534;45.1
200072684;Communauté de communes Le Gesnois Bilurien;30234;76.2
200072692;Communauté de communes des Vallées de la Braye et de l'Anille;14867;35.8
200072700;Communauté de communes Haute Sarthe Alpes Mancelles;22571;46.1
200072718;Communauté de communes de la Champagne Conlinoise et du Pays de Sillé;17966;41.9
200072726;Communauté de communes Châteaubriant-Derval;44552;50.7
200072734;Communauté de communes Estuaire et Sillon;40629;132.7
200072825;Communauté de communes Mirebellois et Fontenois;12561;29.6
200072874;Communauté de communes Val Briard;28715;86.2
200072882;Communauté de communes de Vie et Boulogne;45851;93.6
200072981;Communauté de communes Touraine Ouest Val de Loire;33100;43.7
200072999;Communauté de communes du Grand Langres;20750;29.8
200073013;Communauté de communes Carnelle Pays-de-France;33283;270
200073096;Communauté d'agglomération Arche Agglo;58810;118.1
200073104;Communauté de communes de l'Île-Rousse - Balagne;10873;27.9
200073112;Communauté de communes Sud Sarthe;22577;41.6
200073120;Communauté de communes Nebbiu - Conca d'Oro;7679;19.8
200073138;Communauté de communes Pasquale Paoli;6106;6.8
200073146;Communauté de communes Cagire Garonne Salat;17799;34.5
200073161;Communauté de communes Touraine-Est Vallées;40731;190.8
200073237;Communauté de communes de Gâtine-Racan;22175;43.7
200073245;Communauté de communes du Bassin d'Aubenas;40438;123.7
200073252;Communauté de communes de la Castagniccia-Casinca;12875;55.3
200073260;Communauté de communes Sud Vendée Littoral;55247;58.6
200073344;Communauté d'agglomération Rambouillet Territoires;79180;125.8
200073393;Communauté de communes des Rives du Haut Allier;16468;15.2
200073401;Communauté de communes Mézenc-Loire-Meygal;11360;24.6
200073419;Communauté d'agglomération du Puy-en-Velay;82300;62.2
200073427;Communauté de communes Marches du Velay-Rochebaron;31183;88.3
200077014;Communauté d'agglomération Vienne Condrieu;93560;223.3
200083392;Communauté d'agglomération Laval Agglomération;114674;167.1
200084952;Communauté urbaine Le Havre Seine Métropole;265937;536.4
200085728;Communauté de communes Brioude Sud Auvergne;16678;39.4
200085751;Communauté de communes Entre Bièvre et Rhône;69425;169.4
200089456;Communauté d'agglomération Seine-Eure;102650;200.4
200090504;Communauté d'agglomération Coulommiers Pays de Brie;94527;162.4
200090561;Communauté de communes Vierzon-Sologne-Berry;38360;75.5
200090579;Communauté de communes Terre d'Émeraude Communauté;24433;24.9
200090751;Communauté d'agglomération Grand Calais Terres et Mers;98828;536.8
200093201;Métropole Européenne de Lille;1187907;1768
200096634;Communauté de communes des Hautes Vosges;20947;68.6
200096642;Communauté de communes Gérardmer Hautes Vosges;14197;72.3
200096675;Communauté de communes Baud Communauté;16198;65.4
200096683;Communauté de communes Centre Morbihan Communauté;26868;63.8
200096956;Communauté d'agglomération Agglomération d'Agen;101684;156.5
240100610;Communauté de communes de la Côtière à Montluel;25151;197.3
240100750;Communauté d'agglomération du Pays de Gex;102027;252
240100800;Communauté de communes de Miribel et du Plateau;24794;378.2
240100883;Communauté de communes de la Plaine de l'Ain;81249;114.2
240100891;Communauté de communes du Pays Bellegardien (CCPB);21796;96.5
240200444;Communauté de communes de la Thiérache du Centre;25949;35.9
240200469;Communauté de communes du Pays de la Serre;14394;33.6
240200477;Communauté d'agglomération GrandSoissons Agglomération;52584;290.6
240200493;Communauté de communes du Pays du Vermandois;31038;69.2
240200501;Communauté de communes du Val de l'Aisne;20213;51.2
240200519;Communauté de communes du Canton d'Oulchy-le-Château;5569;24
240200576;Communauté de communes de la Champagne Picarde;20838;36
240200584;Communauté de communes du Canton de Charly-sur-Marne;15498;65.9
240200592;Communauté de communes du Chemin des Dames;5485;30.6
240200600;Communauté de communes des Trois Rivières;20779;59.5
240200634;Communauté de communes des Portes de la Thiérache;6729;26.2
240300491;Communauté de communes du Pays de Lapalisse;8455;25.3
240300558;Communauté de communes du Pays de Tronçais;7434;15
240300566;Communauté de communes du Val de Cher;5492;28.6
240300657;Communauté de communes du Pays d'Huriel;7355;19.4
240400440;Communauté de communes Pays Forcalquier et Montagne de Lure;9978;32.2
240500439;Communauté de communes du Briançonnais;18822;22.3
240500462;Communauté de communes du Pays des Ecrins;6573;14.2
240600551;Communauté d'agglomération de la Riviera Française;72609;110
240600585;Communauté d'agglomération de Sophia Antipolis;181763;376.5
240600593;Communauté de communes du Pays des Paillons;21347;105.3
240700302;Communauté de communes du Pays Beaume-Drobie;9128;32.6
240700617;Communauté de communes Val de Ligne;6108;66.4
240700716;Communauté de communes du Val d'Ay;5920;40.5
240700815;Communauté de communes Berg et Coiron;7957;36.3
240700864;Communauté de communes du Rhône aux Gorges de l'Ardèche;19044;72.6
240800821;Communauté de communes Ardenne, Rives de Meuse;25832;94.7
240800847;Communauté de communes des Portes du Luxembourg;19611;37.3
240800862;Communauté de communes des Crêtes Préardennaises;21689;21.4
240800920;Communauté de communes de l'Argonne Ardennaise;16716;14
240900431;Communauté de communes du Pays de Tarascon;8491;38.3
240900464;Communauté de communes du Pays d'Olmes;14765;45
241000223;Communauté de communes Forêts, Lacs, Terres en Champagne;6847;21.2
241000405;Communauté de communes de la Région de Bar-sur-Aube;10630;30.2
241000447;Communauté de communes du Pays d'Othe;7637;24
241000488;Communauté de communes de l'Orvin et de l'Ardusson;8435;19.2
241100593;Communauté d'agglomération Le Grand Narbonne;132244;156.2
241200187;Communauté d'agglomération Rodez Agglomération;56131;273.4
241200542;Communauté de communes du Réquistanais;5228;16.9
241200567;Communauté de communes de Millau Grands Causses;29193;57.1
241200625;Communauté de communes du Pays Rignacois;5604;34.6
241200641;Communauté de communes Conques-Marcillac;12114;29
241200658;Communauté de communes du Pays de Salars;7983;30.2
241200674;Communauté de communes du Plateau de Montbazens;6180;32.9
241200765;Communauté de communes de Lévézou Pareloup;5304;11.1
241200807;Communauté de communes Aveyron Bas Ségala Viaur;5558;21.2
241200906;Communauté de communes Larzac et Vallées;6669;10.2
241200914;Communauté de communes de la Muse et des Raspes du Tarn;5436;12.3
241300375;Communauté de communes Vallée des Baux-Alpilles (CC VBA);27712;86.7
241300417;Communauté d'agglomération d'Arles-Crau-Camargue-Montagnette;83429;57.7
241400415;Communauté de communes Cœur Côte Fleurie;20632;174.6
241400514;Communauté de communes du Pays de Falaise;27418;56.1
241400555;Communauté de communes de Bayeux Intercom;29919;150.3
241400860;Communauté de communes Cœur de Nacre;23951;395.1
241400878;Communauté de communes Terre d'Auge;19569;60.5
241500230;Communauté d'agglomération du Bassin d'Aurillac;53703;109.2
241500255;Communauté de communes du Pays Gentiane;6572;14.3
241500271;Communauté de communes du Pays de Mauriac;6596;29.4
241501055;Communauté de communes Sumène - Artense;8226;25.3
241501089;Communauté de communes Cère et Goul en Carladès;4979;21
241501139;Communauté de communes du Pays de Salers;8409;13.1
241600303;Communauté de communes du Rouillacais;9842;34.2
241700434;Communauté d'agglomération de La Rochelle;178217;545.1
241700459;Communauté de communes de l'Île de Ré;17680;207.2
241700517;Communauté de communes Cœur de Saintonge;17563;64.6
241700624;Communauté de communes de l'Île d'Oléron;22255;127.6
241700632;Communauté de communes de Gémozac et de la Saintonge Viticole;14715;55.8
241700640;Communauté d'agglomération Royan Atlantique;85271;141.2
241700699;Communauté de communes du Bassin de Marennes;15525;85.3
241800374;Communauté de communes La Septaine;10776;27.5
241800424;Communauté de communes du Dunois;7200;21.5
241800432;Communauté de communes Les Trois Provinces;5013;18.6
241800457;Communauté de communes FerCher;11370;49
241800507;Communauté d'agglomération Bourges Plus;101687;243.7
241900133;Communauté de communes de Ventadour - Egletons - Monédières;10131;21.4
241927201;Communauté d'agglomération Tulle Agglo;43927;50.6
241927243;Communauté de communes du Pays d'Uzerche;9897;29.5
242000354;Communauté d'agglomération de Bastia;62933;923.6
242000495;Communauté de communes de l'Alta Rocca;8598;12.6
242000503;Communauté de communes Celavu-Prunelli;9143;24
242010056;Communauté d'agglomération du Pays Ajaccien;91202;339.4
242010130;Communauté de communes du Sartenais Valinco Taravo;11991;22.8
242020071;Communauté de communes du Centre Corse;9951;27.5
242020105;Communauté de communes de Calvi Balagne;12667;22.6
242100154;Communauté de communes des Vallées de la Tille et de l'Ignon;13687;36.5
242100410;Dijon Métropole;257193;1071.8
242101434;Communauté de communes du Pays Châtillonnais;19481;10.7
242101442;Communauté de communes Saulieu-Morvan;5266;19.8
242101459;Communauté de communes du Pays d'Alésia et de la Seine;7370;23.3
242101491;Communauté de communes du Montbardois;10225;23.8
242101509;Communauté de communes Rives de Saône;20498;54.1
242200715;Communauté de communes du Kreiz-Breizh (CCKB);18292;26.2
242300135;Communauté de communes du Pays Sostranien;10287;37.6
242320000;Communauté de communes de Bénévent Grand Bourg;6794;17.4
242320109;Communauté de communes du Pays Dunois;6942;20.4
242400752;Communauté de communes Périgord-Limousin;14028;28.1
242400935;Communauté de communes du Pays de Saint-Aulaye;6668;27.4
242401024;Communauté de communes Isle-Loue-Auvézère en Périgord;13663;25.6
242500320;Communauté de communes de Montbenoît;8171;41.2
242500338;Communauté de communes du Grand Pontarlier;28369;183.7
242500361;Communauté urbaine Grand Besançon Métropole;197494;373.6
242504116;Communauté de communes du Val de Morteau;20983;129.8
242504181;Communauté de communes des Portes du Haut-Doubs;26736;41.5
242504355;Communauté de communes du Plateau de Russey;6888;46.3
242504371;Communauté de communes du Pays de Sancey-Belleherbe;5502;23.9
242504447;Communauté de communes du Doubs Baumois;16057;46
242504488;Communauté de communes Altitude 800;6585;32.2
242504496;Communauté de communes du Plateau de Frasne et du Val du Drugeon (CFD);6266;35.1
242600252;Communauté de communes du Val de Drôme en Biovallée;30900;52.5
242600492;Communauté de communes Dieulefit-Bourdeaux;9584;25.9
242600534;Communauté de communes du Diois;11956;9.8
242700276;Communauté de communes du Pays de Conches;18262;70.3
242700607;Communauté de communes du Pays du Neubourg;22543;74
242852465;Communauté de communes du Bonnevalais;12154;35.8
242900074;Communauté de communes du Pays d'Iroise;49472;156
242900314;Brest Métropole;211920;970.5
242900553;Communauté de communes du Pays des Abers;41800;154.2
242900561;Communauté de communes de Haute Cornouaille;14900;36.3
242900629;Communauté de communes Cap Sizun - Pointe du Raz;15286;86.2
242900645;Communauté de communes Douarnenez Communauté;18383;174.2
242900660;Communauté de communes du Pays Fouesnantais;29002;222.7
242900694;Communauté d'agglomération Quimperlé Communauté;56590;93.2
242900702;Communauté de communes du Pays Bigouden Sud;37866;226.6
242900710;Communauté de communes du Haut Pays Bigouden;18529;87.8
242900744;Communauté de communes Poher communauté;15357;51
242900751;Communauté de communes du Pays de Landivisiau;33471;82.8
242900769;Communauté d'agglomération Concarneau Cornouaille Agglomération;51873;139.7
242900793;Communauté de communes Communauté Lesneven Côte des Légendes;27571;136
242900801;Communauté d'agglomération du Pays de Landerneau-Daoulas;49625;133.6
242900835;Communauté d'agglomération Morlaix Communauté;64893;95.4
243000270;Communauté de communes du Pays Viganais;9909;25.9
243000296;Communauté de communes du Pays de Sommières;24416;125.8
243000569;Communauté de communes Rhony, Vistre, Vidourle;28302;348
243000585;Communauté de communes Beaucaire Terre d'Argence;31366;152.7
243000593;Communauté de communes de Petite Camargue;27960;137.3
243000643;Communauté d'agglomération de Nîmes Métropole;258750;327.2
243000650;Communauté de communes Terre de Camargue;20736;102.5
243000684;Communauté de communes du Pont du Gard;23643;102.7
243100518;Toulouse Métropole;818491;1786.5
243100567;Communauté de communes Aux sources du Canal du Midi;21703;61.7
243100633;Communauté d'agglomération du Sicoval;82571;332.4
243100732;Communauté de communes des Coteaux du Girou;22837;109.2
243100773;Communauté de communes Val'Aïgo;18319;125.3
